"GUID","synth1","synth3","synth4","synth2","synth round 1 age","synth round 2 age","synth round 3 age","synth round 4 age"
-1841799660,,6790,,,"25-34","25-34","35-44","35-44"
-414608183,,,,4519,"45-54","45-54","55-64","55-64"
2057087273,,8473,,,"16-24","25-34","25-34","35-44"
-724636586,,7953,,,"35-44","45-54","45-54","55-64"
633393769,104,923,,,"35-44","35-44","35-44","45-54"
-944189328,5346,,,,"65-74","75-84","75-84","85+"
1614060869,,5199,,5199,"25-34","25-34","25-34","35-44"
-1345258698,3894,,,,"25-34","25-34","35-44","35-44"
-88134463,,7781,,,"16-24","25-34","25-34","35-44"
-1881279276,446,,,,"25-34","35-44","35-44","45-54"
376128808,,7999,,,"35-44","35-44","45-54","45-54"
-589328308,,5454,,5453,"25-34","25-34","35-44","35-44"
337553006,,,,3555,"25-34","35-44","35-44","45-54"
1918542523,5444,,,,"25-34","25-34","35-44","35-44"
-1118928109,5163,2918,,2918,"45-54","45-54","55-64","55-64"
115963632,,,,5600,"25-34","25-34","35-44","35-44"
364597779,,6615,,,"25-34","25-34","35-44","35-44"
513767563,,9212,,,"45-54","55-64","55-64","65-74"
-1890851440,3144,,,,"25-34","35-44","35-44","45-54"
2128293323,5782,,,,"25-34","25-34","35-44","35-44"
694148663,,,,5437,"16-24","25-34","25-34","25-34"
1542116559,,,12972,,"35-44","35-44","45-54","45-54"
-1713357506,3290,,,,"25-34","35-44","35-44","45-54"
-654105728,,8713,,,"25-34","35-44","35-44","45-54"
1884306314,,,16313,,"0-15","16-24","16-24","25-34"
-1764107181,,6755,,,"25-34","25-34","35-44","35-44"
730583356,4813,8423,8423,,"25-34","25-34","35-44","35-44"
974575596,,,,6216,"16-24","16-24","25-34","25-34"
-43449040,"3720,4472",,,,"35-44","35-44","45-54","45-54"
-1999643569,,8955,,,"16-24","16-24","25-34","25-34"
1336775223,1713,,,,"25-34","25-34","35-44","35-44"
1228719708,4620,,,,"16-24","25-34","25-34","35-44"
498778529,,,4461,4461,"25-34","35-44","35-44","35-44"
682505351,1214,,,,"25-34","25-34","35-44","35-44"
-1629685209,,,,3833,"25-34","25-34","25-34","35-44"
-570625691,,,,3934,"25-34","35-44","35-44","35-44"
-844077306,,,13009,,"25-34","35-44","35-44","45-54"
762600486,,7003,,,"25-34","25-34","35-44","35-44"
729357499,,,12764,,"16-24","25-34","25-34","25-34"
1987945613,1193,,,,"35-44","35-44","45-54","45-54"
-739949523,,,12759,,"16-24","16-24","25-34","25-34"
1845536373,,,10215,,"0-15","16-24","16-24","25-34"
-266950424,631,,,,"35-44","35-44","45-54","45-54"
-701981479,5145,,,2913,"25-34","35-44","35-44","45-54"
1358745215,,6941,,,"25-34","35-44","35-44","45-54"
495733237,,4664,,,"35-44","35-44","45-54","45-54"
-1615387658,4066,,,,"25-34","25-34","25-34","35-44"
-1682838706,,,10342,,"25-34","25-34","35-44","35-44"
-714984631,3076,,,,"25-34","35-44","35-44","35-44"
1708381351,,6660,,,"16-24","16-24","25-34","25-34"
993349011,1644,,,,"45-54","55-64","55-64","55-64"
-245558799,,7693,,,"16-24","25-34","25-34","35-44"
-340923761,420,,,,"45-54","45-54","55-64","55-64"
-614890375,2474,,,,"55-64","65-74","65-74","75-84"
1125314735,2858,,,,"25-34","25-34","25-34","35-44"
-1659941217,,8853,,,"35-44","35-44","45-54","45-54"
-643569841,85,,,,"35-44","45-54","45-54","55-64"
1991076132,,,,5571,"25-34","25-34","35-44","35-44"
-1929909048,,7329,,,"35-44","35-44","45-54","45-54"
-1031967517,2754,,,,"25-34","35-44","35-44","35-44"
-330892437,,,,6373,"16-24","25-34","25-34","25-34"
-1144565534,5416,,,,"16-24","25-34","25-34","35-44"
-21247880,,8888,,,"16-24","16-24","25-34","25-34"
1714448659,,,13166,,"16-24","16-24","25-34","25-34"
989970370,,7763,,,"16-24","16-24","25-34","25-34"
-1504460925,,4523,,,"25-34","25-34","35-44","35-44"
1081292478,3577,,,,"25-34","25-34","35-44","35-44"
1873299755,4877,,,,"16-24","25-34","25-34","35-44"
-444694439,,6754,,,"25-34","25-34","35-44","35-44"
1284570004,,6942,,,"45-54","45-54","55-64","55-64"
-1364196014,,9288,,,"16-24","16-24","25-34","25-34"
1842869884,,7338,,,"35-44","35-44","45-54","45-54"
665992944,,7624,,,"25-34","35-44","35-44","35-44"
1821271372,5637,,,,"16-24","25-34","25-34","35-44"
1852277985,2198,,,,"35-44","45-54","45-54","55-64"
-795388644,,,16522,,"45-54","45-54","55-64","55-64"
240734395,5847,,,,"35-44","35-44","45-54","45-54"
-1782610699,,,14171,,"0-15","16-24","16-24","25-34"
2070745284,2036,,,,"45-54","45-54","55-64","55-64"
-220960620,,,,3651,"35-44","35-44","45-54","45-54"
-44464161,,,,3491,"25-34","25-34","25-34","35-44"
-1491295301,,,,3538,"16-24","25-34","25-34","35-44"
1001539658,1871,,,,"35-44","35-44","45-54","45-54"
-1548818157,5080,,,,"65-74","65-74","75-84","75-84"
-1860529621,4187,,,2496,"25-34","25-34","25-34","35-44"
-1310022293,4155,,,,"25-34","35-44","35-44","35-44"
-493148513,2925,,,,"35-44","45-54","45-54","45-54"
2032298414,,7029,,,"25-34","25-34","25-34","35-44"
-679447817,,,16314,,"16-24","16-24","25-34","25-34"
-192008127,,,,6060,"25-34","35-44","35-44","35-44"
-186139810,,,,4425,"25-34","25-34","35-44","35-44"
-553853935,2244,,,,"25-34","25-34","35-44","35-44"
-307269427,,7679,7679,,"16-24","25-34","25-34","25-34"
-1814736101,,9348,,,"45-54","55-64","55-64","55-64"
1686235668,3562,,,,"25-34","25-34","35-44","35-44"
375176610,,,,5193,"16-24","25-34","25-34","25-34"
1047043032,1513,,,,"35-44","45-54","45-54","45-54"
417300578,,8596,,,"25-34","25-34","25-34","35-44"
218549614,1404,,,,"45-54","45-54","55-64","55-64"
1643088504,5051,,,,"25-34","25-34","35-44","35-44"
1618729873,1132,,,,"35-44","35-44","45-54","45-54"
-1177799986,,7823,,,"16-24","16-24","25-34","25-34"
405306970,,,,5859,"35-44","35-44","45-54","45-54"
1949973380,,6610,,,"16-24","25-34","25-34","35-44"
-276329783,,,8364,,"45-54","45-54","55-64","55-64"
-2130600013,,9612,,,"16-24","25-34","25-34","25-34"
-59419466,,5105,,5105,"35-44","35-44","45-54","45-54"
465108566,4448,,,,"25-34","25-34","35-44","35-44"
-720234385,,,,5570,"25-34","25-34","25-34","35-44"
1799906814,,7257,,,"16-24","16-24","25-34","25-34"
-854251939,,8710,,,"16-24","16-24","25-34","25-34"
-227181348,,,13015,,"16-24","16-24","25-34","25-34"
384393716,,,,4455,"16-24","16-24","25-34","25-34"
926463615,,8519,,,"16-24","25-34","25-34","25-34"
1580584903,,6899,,,"25-34","25-34","35-44","35-44"
-1328237903,1157,,,,"25-34","25-34","35-44","35-44"
231345569,,8492,,,"16-24","16-24","25-34","25-34"
324646155,,3530,,3530,"55-64","65-74","65-74","75-84"
-529874543,,,12638,,"35-44","35-44","45-54","45-54"
-1399854255,5091,,,,"25-34","35-44","35-44","35-44"
454565130,,8884,,,"16-24","25-34","25-34","35-44"
-295197308,,,,3732,"25-34","35-44","35-44","45-54"
-502313575,,,,6420,"16-24","25-34","25-34","35-44"
881024666,2091,,,,"45-54","45-54","55-64","55-64"
-1028978907,5000,,,,"25-34","35-44","35-44","35-44"
1085322008,1779,,,,"55-64","55-64","65-74","65-74"
-12101265,,,,4263,"45-54","55-64","55-64","65-74"
-896830474,4865,,,,"25-34","25-34","35-44","35-44"
-981519069,66,,,,"35-44","35-44","45-54","45-54"
-932063666,6490,,,,"55-64","55-64","65-74","65-74"
1677486848,,,16460,,"25-34","25-34","35-44","35-44"
-872651781,1608,7978,,,"65-74","75-84","75-84","75-84"
1274743850,,,10139,,"16-24","25-34","25-34","25-34"
-942251533,,,,3582,"35-44","35-44","45-54","45-54"
-425754683,,9199,,,"0-15","16-24","16-24","25-34"
-884766907,,,,4011,"25-34","25-34","35-44","35-44"
-453959907,,,,5047,"25-34","25-34","35-44","35-44"
-676503969,"2980,4199",,,,"35-44","35-44","45-54","45-54"
-1160171986,4057,,,,"25-34","25-34","35-44","35-44"
1102973472,,7741,,,"16-24","25-34","25-34","25-34"
-944739532,,6705,,,"16-24","25-34","25-34","25-34"
-2041412185,,8772,,,"35-44","45-54","45-54","55-64"
-1722141663,2637,,,,"25-34","25-34","35-44","35-44"
1855271820,,4624,4624,4624,"35-44","35-44","45-54","45-54"
1011786994,,,13112,,"0-15","16-24","16-24","16-24"
416385463,,9318,,,"16-24","16-24","25-34","25-34"
615131491,,8032,,,"16-24","16-24","25-34","25-34"
-857916751,,8523,,,"16-24","16-24","25-34","25-34"
1040967073,,8412,8412,,"16-24","25-34","25-34","35-44"
1717568126,,,,4012,"16-24","25-34","25-34","35-44"
164684374,310,,,4015,"35-44","35-44","45-54","45-54"
-976318415,,7850,,,"16-24","16-24","25-34","25-34"
1607942861,3937,,,,"25-34","35-44","35-44","45-54"
-504158587,,,10228,,"25-34","25-34","35-44","35-44"
-974237182,639,,,1165,"25-34","35-44","35-44","45-54"
-698107119,,,16302,,"0-15","16-24","16-24","25-34"
-1686473215,,,10230,,"16-24","16-24","25-34","25-34"
-959341968,4417,,,,"35-44","35-44","45-54","45-54"
662539572,3599,,,,"35-44","35-44","45-54","45-54"
1234957820,,,,3663,"16-24","25-34","25-34","35-44"
1443743059,5490,,,,"55-64","65-74","65-74","65-74"
1856228978,,3895,,,"35-44","35-44","45-54","45-54"
221236937,3758,,,2332,"35-44","35-44","45-54","45-54"
-64908903,219,,,,"25-34","25-34","35-44","35-44"
275748065,,8204,,,"16-24","25-34","25-34","25-34"
716027131,3817,,,,"45-54","45-54","55-64","55-64"
630918297,,,10199,,"0-15","16-24","16-24","25-34"
739502184,2661,,,,"65-74","75-84","75-84","85+"
-1104792976,,,,3721,"16-24","25-34","25-34","25-34"
-1130280416,4211,,,,"35-44","45-54","45-54","45-54"
-1926192593,,,12690,,"16-24","16-24","25-34","25-34"
1852463174,3297,,,,"35-44","35-44","35-44","45-54"
-1584883644,,8682,,,"16-24","25-34","25-34","35-44"
-970987101,,7617,,,"25-34","25-34","35-44","35-44"
1603644930,1683,5953,,,"35-44","45-54","45-54","55-64"
-983707492,"5071,6230",,,,"65-74","65-74","75-84","75-84"
1630098389,2976,,,,"25-34","25-34","35-44","35-44"
-501764634,5061,,,,"35-44","45-54","45-54","45-54"
-384550144,,,11466,,"45-54","45-54","45-54","55-64"
139141756,,,,3479,"55-64","55-64","65-74","65-74"
-253795606,,8726,,,"16-24","25-34","25-34","25-34"
520893901,,,,4046,"35-44","45-54","45-54","55-64"
-496003972,6215,,,,"25-34","25-34","35-44","35-44"
-254038096,,,11449,,"0-15","16-24","16-24","25-34"
-1310199223,,7993,7993,,"35-44","35-44","45-54","45-54"
455949381,3099,,,,"35-44","45-54","45-54","45-54"
1729808399,3885,,,,"45-54","45-54","55-64","55-64"
-1235096559,,7762,,,"16-24","25-34","25-34","25-34"
-365609450,3880,,,,"16-24","25-34","25-34","35-44"
1069164412,,7596,,,"25-34","25-34","25-34","35-44"
1323249753,,6734,6734,,"16-24","25-34","25-34","35-44"
-760345436,4381,,,2607,"16-24","25-34","25-34","35-44"
1795539090,,,12757,,"16-24","25-34","25-34","35-44"
328857122,,,,5233,"35-44","45-54","45-54","55-64"
-1978052173,2212,,,,"55-64","65-74","65-74","75-84"
-1223862752,,,,3713,"25-34","25-34","35-44","35-44"
-1128400374,,8588,,,"35-44","35-44","45-54","45-54"
-525625848,2844,,,,"35-44","35-44","35-44","45-54"
-1097507235,,,,4911,"55-64","55-64","65-74","65-74"
303828261,,8544,8544,,"16-24","16-24","25-34","25-34"
1184611678,1551,,,,"25-34","25-34","35-44","35-44"
-632080946,,8575,,,"16-24","16-24","25-34","25-34"
-1493484827,2701,,,,"25-34","35-44","35-44","35-44"
274311731,555,7023,,,"45-54","45-54","55-64","55-64"
-1630829689,,,,5979,"25-34","25-34","35-44","35-44"
1126105417,,8706,,,"16-24","25-34","25-34","35-44"
-825842623,,7346,,,"16-24","25-34","25-34","35-44"
-2124586490,315,,,,"35-44","35-44","45-54","45-54"
-103603984,,,,3623,"16-24","25-34","25-34","35-44"
-405690252,605,,,,"25-34","25-34","35-44","35-44"
-50706885,,,,5420,"16-24","25-34","25-34","35-44"
300707340,1325,1338,,,"45-54","45-54","55-64","55-64"
-904732447,,6778,,,"16-24","16-24","25-34","25-34"
2117207259,3601,,,2246,"25-34","25-34","35-44","35-44"
1293343822,336,1045,,,"35-44","35-44","45-54","45-54"
1119915743,,6584,,,"16-24","16-24","25-34","25-34"
863645584,,7695,,,"16-24","25-34","25-34","25-34"
1837195287,3576,,,5077,"25-34","35-44","35-44","45-54"
300569230,5639,,,,"25-34","25-34","35-44","35-44"
595146804,,,,5875,"55-64","55-64","55-64","65-74"
-3501202,,6640,,,"55-64","55-64","65-74","65-74"
-990553586,,,,4392,"25-34","35-44","35-44","45-54"
-1262074147,3772,,,,"25-34","25-34","35-44","35-44"
1081689482,1392,,,,"35-44","35-44","35-44","45-54"
-1197331416,5485,3017,3017,3017,"35-44","35-44","45-54","45-54"
-542074369,5956,,11468,3274,"16-24","25-34","25-34","35-44"
-815986547,,,4324,,"45-54","45-54","55-64","55-64"
-1767779756,,5444,,5444,"16-24","25-34","25-34","35-44"
1932549944,2989,6062,,6062,"16-24","25-34","25-34","35-44"
899642410,,,16408,,"0-15","16-24","16-24","25-34"
-271340962,,696,,,"45-54","45-54","55-64","55-64"
915575244,3563,,,,"65-74","65-74","75-84","75-84"
-205123746,3721,,,,"25-34","25-34","35-44","35-44"
234012428,,,16383,,"45-54","45-54","55-64","55-64"
1145858732,6449,,,3414,"25-34","25-34","35-44","35-44"
-1042420813,1415,,,,"25-34","25-34","35-44","35-44"
-1297002259,,,,3483,"16-24","25-34","25-34","35-44"
-489297714,1170,,,,"35-44","35-44","45-54","45-54"
-992066261,,8595,,,"0-15","16-24","16-24","25-34"
233340173,,,,4551,"25-34","25-34","35-44","35-44"
850929377,379,,,,"45-54","45-54","55-64","55-64"
-1564587315,6298,,,,"25-34","25-34","35-44","35-44"
1134488073,5592,,,,"16-24","25-34","25-34","35-44"
-381417460,4152,,,,"25-34","35-44","35-44","35-44"
665909996,,8320,,,"16-24","16-24","25-34","25-34"
552304306,,8851,,,"25-34","25-34","35-44","35-44"
1376075010,,6880,,,"16-24","25-34","25-34","35-44"
-592754255,5607,,,,"16-24","25-34","25-34","35-44"
425479322,324,,,,"35-44","35-44","45-54","45-54"
-12366772,4407,,,,"35-44","35-44","45-54","45-54"
752497907,,9179,,,"16-24","16-24","25-34","25-34"
2068404970,,,,4409,"25-34","25-34","25-34","35-44"
-230619127,,8474,,,"16-24","16-24","25-34","25-34"
-479345256,2442,,,,"25-34","25-34","35-44","35-44"
1601964008,617,,,,"25-34","25-34","25-34","35-44"
-66861295,2743,,,,"25-34","25-34","35-44","35-44"
-747429241,,8776,,,"0-15","16-24","16-24","25-34"
798615815,747,,,,"45-54","55-64","55-64","55-64"
674925222,4553,,,6172,"25-34","35-44","35-44","45-54"
1456759542,4092,,,,"35-44","35-44","45-54","45-54"
-787074336,1483,,,,"55-64","65-74","65-74","75-84"
750222069,,7997,,,"16-24","16-24","25-34","25-34"
-1722122011,,7691,,,"35-44","35-44","45-54","45-54"
319741352,,,,3781,"16-24","16-24","25-34","25-34"
-1092572618,4452,2648,,2648,"45-54","45-54","45-54","55-64"
-369768000,,9250,11472,,"16-24","25-34","25-34","35-44"
-1473114456,,,11527,,"16-24","16-24","25-34","25-34"
-1085136190,,5564,,5564,"16-24","16-24","25-34","25-34"
-320641160,1590,,,,"25-34","25-34","35-44","35-44"
-1350452514,,,,4615,"45-54","45-54","55-64","55-64"
-1606906065,5833,,,,"25-34","25-34","35-44","35-44"
427969424,,9342,,,"25-34","25-34","35-44","35-44"
-126733784,,,,5415,"16-24","25-34","25-34","35-44"
-801490960,870,,,,"55-64","55-64","55-64","65-74"
-1112485010,3848,2366,,2366,"35-44","45-54","45-54","55-64"
1301039024,,,16668,,"16-24","25-34","25-34","35-44"
2064303465,6322,,,,"25-34","35-44","35-44","35-44"
692436864,4828,,,,"25-34","25-34","35-44","35-44"
1888844295,,,16579,,"16-24","25-34","25-34","35-44"
1386693575,,,10138,,"16-24","16-24","25-34","25-34"
-1346549137,,6622,6622,,"25-34","25-34","35-44","35-44"
1245017688,5115,,,,"25-34","25-34","35-44","35-44"
-1979094745,2226,,,,"35-44","35-44","35-44","45-54"
-2130052527,478,,,,"55-64","55-64","65-74","65-74"
1261415239,,6888,,,"55-64","55-64","65-74","65-74"
-1744598955,,9228,,,"25-34","25-34","35-44","35-44"
-1149331706,,,16329,,"16-24","16-24","25-34","25-34"
1443668920,"2155,3037",,,,"25-34","35-44","35-44","45-54"
-2136636041,4430,,,,"35-44","35-44","45-54","45-54"
-1595521587,710,,,,"35-44","35-44","35-44","45-54"
1015577503,5112,,,,"25-34","35-44","35-44","35-44"
1221242419,5901,,,,"25-34","25-34","35-44","35-44"
883453309,,7066,,,"16-24","25-34","25-34","35-44"
-1882562023,,7212,,,"45-54","45-54","55-64","55-64"
-1508096628,,,,6046,"16-24","25-34","25-34","25-34"
-2058297855,,7752,,,"16-24","16-24","25-34","25-34"
-2124175655,5252,,,2949,"35-44","45-54","45-54","55-64"
996480228,6509,,,,"25-34","25-34","35-44","35-44"
-1771678378,,2385,,,"35-44","45-54","45-54","45-54"
1623574438,2259,,,,"45-54","45-54","55-64","55-64"
52223466,,5511,,5511,"25-34","35-44","35-44","35-44"
469444938,,6606,,,"35-44","45-54","45-54","45-54"
229338458,,,,3782,"25-34","25-34","35-44","35-44"
-2019533830,6436,,,,"25-34","25-34","35-44","35-44"
-334845950,,,,5044,"16-24","25-34","25-34","35-44"
1097998012,2871,,,,"35-44","45-54","45-54","45-54"
-1045470348,,6653,,,"25-34","25-34","35-44","35-44"
-1842697540,2705,1865,,1865,"25-34","25-34","35-44","35-44"
-1130266036,4842,,,,"45-54","45-54","55-64","55-64"
1464695838,,7620,,,"25-34","25-34","35-44","35-44"
-1018776076,,,,4733,"25-34","25-34","35-44","35-44"
-1120266600,,3839,3839,3839,"55-64","55-64","65-74","65-74"
-2102679870,2215,,,,"35-44","35-44","45-54","45-54"
1612878579,,9695,,,"16-24","16-24","25-34","25-34"
877531646,,,,3975,"55-64","65-74","65-74","75-84"
-1923358282,,6602,,,"16-24","25-34","25-34","25-34"
1913492967,,,6990,,"35-44","45-54","45-54","45-54"
-1496105417,4926,,,,"55-64","55-64","65-74","65-74"
92358043,1549,,,,"25-34","25-34","35-44","35-44"
-392447342,"3091,3697",,,,"25-34","25-34","25-34","35-44"
1816557637,,,,3816,"16-24","25-34","25-34","25-34"
-2061660504,,6753,,,"16-24","16-24","25-34","25-34"
-1389400661,3500,,,2178,"16-24","25-34","25-34","35-44"
-586410647,,,,3489,"25-34","25-34","25-34","35-44"
-1603684461,2194,,,,"25-34","35-44","35-44","35-44"
-376677465,,,,3701,"25-34","35-44","35-44","45-54"
-1032791270,2911,,,,"35-44","35-44","45-54","45-54"
-1940405242,1278,,,,"65-74","75-84","75-84","85+"
-590841488,,,16568,,"16-24","16-24","25-34","25-34"
-946844697,,9640,,,"16-24","25-34","25-34","35-44"
1732411577,154,,,,"35-44","35-44","45-54","45-54"
-638614561,,,,3868,"25-34","35-44","35-44","35-44"
1753612664,,,,3486,"25-34","25-34","35-44","35-44"
1242740993,,,,5506,"25-34","25-34","35-44","35-44"
1531625050,2201,,,,"25-34","35-44","35-44","45-54"
-149919541,4376,,,2605,"25-34","25-34","35-44","35-44"
-463187502,3305,,,,"25-34","25-34","35-44","35-44"
976466642,,7642,,,"16-24","25-34","25-34","35-44"
-1269052422,4431,,,,"65-74","65-74","65-74","75-84"
-702740760,68,,,,"35-44","45-54","45-54","55-64"
1423289744,2173,1656,1656,1656,"35-44","35-44","45-54","45-54"
2051763297,4391,,,,"25-34","35-44","35-44","35-44"
-318826615,,9308,,,"0-15","16-24","16-24","25-34"
1209847859,,,16461,,"0-15","16-24","16-24","25-34"
1908606400,,,,5870,"35-44","35-44","45-54","45-54"
-1374195570,,,,4481,"16-24","25-34","25-34","35-44"
283245023,,,,4388,"35-44","35-44","45-54","45-54"
753304448,,9273,,,"16-24","16-24","25-34","25-34"
-1137698177,,5205,,,"16-24","25-34","25-34","35-44"
-873537775,,,,4753,"16-24","25-34","25-34","25-34"
1946754579,391,,,,"25-34","35-44","35-44","45-54"
-1848964818,,6867,,,"25-34","25-34","35-44","35-44"
-1829865126,,,16439,4450,"25-34","25-34","25-34","35-44"
-2139761035,,9119,,,"25-34","25-34","35-44","35-44"
146796814,,,,4558,"35-44","45-54","45-54","45-54"
-792546263,,7599,,,"55-64","65-74","65-74","75-84"
1008310414,2785,1902,1902,,"25-34","35-44","35-44","45-54"
1564427420,2665,1846,,,"35-44","35-44","45-54","45-54"
557865860,,,,6228,"25-34","25-34","35-44","35-44"
1148358082,,6226,,6226,"45-54","45-54","55-64","55-64"
-1916486217,,,,3764,"35-44","45-54","45-54","55-64"
2142052152,1331,,,,"25-34","25-34","35-44","35-44"
-993463285,,,12603,,"25-34","25-34","35-44","35-44"
-1804688085,4207,,,,"25-34","25-34","35-44","35-44"
-49988116,4612,,,,"55-64","55-64","65-74","65-74"
962014048,,,16343,,"16-24","16-24","25-34","25-34"
-404186746,5184,,2923,,"16-24","25-34","25-34","35-44"
-2071158424,2067,,,,"35-44","35-44","35-44","45-54"
503264678,5830,,,,"25-34","25-34","35-44","35-44"
753033663,,8842,,,"16-24","16-24","25-34","25-34"
277517884,527,,,,"45-54","55-64","55-64","55-64"
-1444850253,5560,,,,"25-34","35-44","35-44","35-44"
454241633,1357,,,,"25-34","25-34","35-44","35-44"
1165124208,,,12752,,"35-44","45-54","45-54","45-54"
927735615,4564,,,6190,"16-24","25-34","25-34","35-44"
-240723240,2741,,,,"25-34","25-34","35-44","35-44"
1874864601,,,16342,3634,"35-44","35-44","45-54","45-54"
-1749085423,295,,,,"55-64","55-64","55-64","65-74"
1746777400,,,,3852,"25-34","35-44","35-44","35-44"
-1440777889,,5507,,,"45-54","45-54","55-64","55-64"
1486267982,3826,,,,"25-34","25-34","35-44","35-44"
2059809610,6488,,,,"16-24","25-34","25-34","35-44"
453170411,1393,,,,"25-34","35-44","35-44","45-54"
-1254361538,,8764,,,"16-24","16-24","25-34","25-34"
-433786428,3832,,,,"35-44","35-44","45-54","45-54"
-785911787,"3747,4786",,,,"35-44","35-44","45-54","45-54"
74406103,,5873,5873,5873,"25-34","25-34","35-44","35-44"
1854822692,,,,4633,"45-54","45-54","55-64","55-64"
475033764,6017,,,,"25-34","25-34","35-44","35-44"
2069614060,,8540,,,"0-15","16-24","16-24","25-34"
-42139461,,6976,6976,,"16-24","16-24","25-34","25-34"
895451124,,9142,12894,,"16-24","16-24","25-34","25-34"
-42357719,5932,,,,"35-44","35-44","45-54","45-54"
-410156549,3783,,,,"25-34","25-34","25-34","35-44"
1422635925,1725,,,,"35-44","35-44","45-54","45-54"
-1054126187,,,12687,,"45-54","45-54","55-64","55-64"
2052296316,20,,,,"25-34","35-44","35-44","45-54"
-2078304456,1896,,,,"35-44","35-44","45-54","45-54"
711937187,4504,,,,"25-34","25-34","35-44","35-44"
281700876,,,13142,,"35-44","45-54","45-54","45-54"
-158897856,578,,,1139,"45-54","45-54","55-64","55-64"
-126759730,"506,5488",,,3827,"35-44","45-54","45-54","55-64"
695889765,,5298,,5298,"16-24","25-34","25-34","25-34"
661885712,5244,,,,"25-34","25-34","35-44","35-44"
-1081362809,,,,3646,"16-24","25-34","25-34","25-34"
449829685,,,16362,,"35-44","35-44","45-54","45-54"
1205638239,2991,,,,"25-34","25-34","35-44","35-44"
-1819015292,3545,,,,"45-54","55-64","55-64","55-64"
1089945116,,,12747,,"55-64","55-64","65-74","65-74"
970323248,,6693,,,"25-34","25-34","35-44","35-44"
-2071916648,,,16337,,"35-44","35-44","45-54","45-54"
300772689,2193,1672,,1672,"25-34","25-34","35-44","35-44"
-1364787772,604,,,,"35-44","45-54","45-54","45-54"
-137887072,266,,,,"25-34","35-44","35-44","45-54"
1673042612,2636,,,,"25-34","25-34","35-44","35-44"
-906097307,1880,,,,"25-34","25-34","35-44","35-44"
358810991,,3876,,3876,"25-34","25-34","35-44","35-44"
936867549,108,,,,"25-34","35-44","35-44","35-44"
-1617472515,734,,,5024,"45-54","55-64","55-64","65-74"
-1188595031,4124,,,,"25-34","25-34","35-44","35-44"
-375571731,242,,,,"25-34","25-34","35-44","35-44"
